ADPEname,Latitude,Longitude,ADPEcount
Acuna Island,-60.7612,-44.637,3079
Adams Island,-66.5459,92.5486,76
Akarui Point,-68.4999,41.3901,106
Alasheyev Bight,-67.654,46.109,1080
Ambush Bay,-63.184,-55.393,17621
Amphibolite Point,-60.683,-45.3415,7660
Anchorage Island,-67.6059,-68.2016,1553
Anderson Island,-67.4353,63.3572,2000
Andresen Island Location 1,-66.879,-66.649,1139
Andresen Island Location 2,-66.875,-66.711,281
Ardley Island,-62.212,-58.918,334
Armstrong Reef,-65.8969,-66.2678,2813
Arthurson Ridge,-69.3634,158.5109,14461
Auster Islands,-67.4308,63.8246,2082
Avian Island,-67.772,-68.888,77515
Aviation Island,-69.2746,158.78,1296
Backer Islands,-74.4112,-102.5515,465
Balaena Islands,-66.0158,111.0688,160
Barcroft Islands,-66.453,-67.154,211
Barrier Island,-68.4163,78.324,3252
Beagle Island,-63.4139,-54.6675,96892
Beaufort Island,-76.9694,166.8978,61106
Beaufort North,-76.9288,166.881,752
Bellingshausen Island,-59.406,-27.079,45000
Benten,-69.0417,39.25,0
Berkley/Cameron,-66.217,110.65,13423
Berthelot Islands,-65.333,-64.117,313
Biscoe Point,-64.812,-63.777,531
Blakeney/Whitney,-66.2457,110.5573,10821
Bolingen/Lichen Island,-69.456,75.7474,465
Bongrain Point (Pourquoi Pas Is),-67.724,-67.732,2284
Brattstrand Bluff,-69.2157,76.9995,41389
Brown Bluff,-63.5216,-56.8953,48938
Brownson Islands,-74.1681,-103.6361,15962
Bruce Island,-60.683,-44.924,4000
Buckle Island,-66.8908,163.2871,277
Candlemas Island,-57.0927,-26.7243,1619
Cape Adare,-71.3063,170.1999,338231
Cape Anne,-73.617,169.85,268
Cape Barne,-77.583,166.217,0
Cape Batterbee,-65.842,53.8129,30746
Cape Bienvenue,-66.7203,140.5252,35466
Cape Bird ,-77.2293,166.4128,43321
Cape Bowles,-61.3167,-54.081,395
Cape Burks,-74.7505,-136.7946,1209
Cape Cornish/NE Buckle,-66.7031,163.2139,43
Cape Cotter,-72.4045,170.3122,39121
Cape Crozier,-77.4592,169.2571,272340
Cape Denison,-67.0072,142.6647,13834
Cape Evensen,-66.166,-65.689,163
"Cape Evensen, off shore rock",-66.152,-65.71,212
Cape Hallett,-72.3179,170.2142,61160
"Cape Hansen, Coronation Island",-60.659,-45.584,5980
Cape Hinode,-68.1453,42.6612,360
Cape Hunter,-66.963,142.349,7709
Cape Jones,-73.2762,169.2272,20
Cape Jules,-66.7438,140.9189,56399
Cape Nutt,-66.6352,108.2127,1412
Cape Omega,-68.5667,40.9833,503
Cape Phillips,-73.0714,169.6168,9881
Cape Pigeon Rocks,-66.9334,143.894,64607
Cape Royds,-77.5545,166.1639,3083
Cape Waites,-72.713,-103.451,546
Cape Wheatstone,-72.6217,170.2024,1942
Casey Bay,-67.3774,48.6565,95
Chappel Island,-66.1772,110.4193,4597
Charcot Island,-69.7617,-75.4074,28
Chatos Island,-67.66,-69.152,135
Chick Islands,-66.7918,120.9934,475
Child Rocks Islands 1,-67.4377,63.2749,300
Child Rocks Islands 2,-67.438,63.2824,2000
Child Rocks Islands 3,-67.4387,63.2715,300
Christine Island,-64.7926,-64.0189,327
Christoffersen Island,-60.728,-45.035,250
Clark Island,-74.056,-105.193,322
Cockburn Island,-64.1892,-56.8467,15721
Colbeck Archipelago Unnamed 1,-67.3436,61.0647,958
Cone Island,-67.676,-69.154,3051
Continental Rock,-67.3997,59.7964,1421
Cormorant Island,-64.793,-63.9678,388
Cormorant Point,-60.752,-44.738,96
Coronation I: Other localities,-60.665,-45.444,3500
Coulman Middle,-73.4372,169.8854,4150
Coulman North,-73.3822,169.8401,501
Coulman South,-73.5137,169.8779,14786
Cruzen Island,-74.7341,-140.3266,226
Darbel Island,-66.373,-65.871,324
Davis Island,-66.6637,108.4444,8418
Detaille Island,-66.871,-66.785,430
Devil Island,-63.797,-57.29,13411
Douglas Islands 1,-67.3803,63.3893,10
Douglas Islands 2,-67.3849,63.3895,300
Downshire Cliffs,-71.5582,170.592,14373
Dream Island,-64.7254,-64.2256,1887
Duke of York Island,-71.6235,170.0635,16340
Duroch Island,-63.303,-57.897,800
d'Urville Monument,-63.4268,-56.2907,29170
Duthoit Point,-62.3099,-58.8303,1
Eden Rocks,-63.4942,-55.7003,45374
Edwards Islands,-73.8701,-103.0057,58058
Emperor Island,-67.864,-68.708,2716
Etna Island,-63.095,-55.178,226
Ferrier Peninsula,-60.712,-44.4318,25453
Fish Islands,-66.025,-65.359,913
Fitchie Bay,-60.715,-44.4932,114
Fizkin Island (Islet NE of F.I.),-65.514,-65.48,113
Fliess Bay,-63.2045,-55.2412,77
Forbes Glacier,-67.5964,62.2858,1028
Fortenberry,-70.7662,167.0789,342
Fram Islands,-66.6274,139.7279,878
Franklin Island East,-76.1581,168.4101,255
Franklin Island West,-76.1618,168.3383,41339
Gerd Island,-60.6574,-45.7437,1086
Gerlache Island,-64.601,-64.214,171
Gibbney Island,-67.5543,62.3205,12246
Gibson Bay,-63.3057,-55.8815,0
Ginger Island,-67.7502,-68.6859,1336
Gosling Island,-60.639,-45.922,8523
Gourdin Island,-63.195,-57.311,16334
Gourlay Point,-60.7309,-45.5863,3926
Graptolite Island,-60.7159,-44.4621,23076
Harald Bay,-69.1977,157.6894,21033
Haswell Island,-66.5289,92.9925,4011
Henry Islands,-66.8781,120.6206,58
Heroina Island,-63.3946,-54.6065,51358
Hokuro Cove,-69.1973,39.6144,272
Holdfast Point,-66.803,-66.59,435
Holl/O'Connor,-66.4118,110.4315,30514
Hollin/Midgley,-66.3259,110.4036,6311
Hope Bay,-63.4036,-57.0098,104182
Humble Island,-64.7652,-64.0852,587
Inexpressible Island,-74.9009,163.7287,39468
Islet 1 Km west of Lavosier Island,-66.122,-66.829,17
Islet next to Lacktinov Island,-65.759,-65.79,38
Ivanhoff Head,-66.8803,109.1276,0
Janet Rock,-66.5698,139.1651,1899
Jingle Islands,-65.429,-65.321,592
Joinville Is: small colonies,-63.2971,-56.4862,1261
Joubin Islands,-64.767,-64.379,1251
Kidson Island,-67.2144,61.187,1334
King Point,-63.16,-55.481,28
Kirby Head ,-67.2726,46.5372,4325
Kirton/Macklin,-67.4907,63.6378,12955
"Knobble Head, Bransfield Island",-63.162,-56.569,100
Kujira Point,-69.6,38.2667,0
Kuno Point,-66.404,-67.173,235
Lagotellerie Island,-67.8887,-67.3796,9380
Lauff Island,-73.2325,-126.7749,0
Lewis Island,-66.1051,134.3849,1719
Lindsay Islands,-73.6094,-103.1829,80704
Lions Rump,-62.1331,-58.1229,2000
Litchfield Island,-64.7694,-64.0858,0
Llano Point,-62.176,-58.446,6562
Lovill Bluff ,-73.538,-127.4361,1540
Low Tongue,-67.5456,61.9906,2227
MacKellar Islands,-66.967,142.65,80360
Madder Cliffs (Joinville Island),-63.2979,-56.4836,34022
Maher Island,-73.1983,-127.0503,10111
Mallory Point,-66.83,108.6433,870
Mame-zima,-69.0167,39.4833,0
Mandible Cirque,-73.117,169.25,19361
Mawson Coast,-67.5563,62.9406,42709
McDonald Point,-67.3427,59.6654,20
Meholmen Island,-69.0254,39.4788,13
Merritt Island,-66.4588,107.1565,297
Mizukuguri Cove,-69.1917,39.6333,0
Montagu Island,-58.5079,-26.2851,18409
Mount Biscoe,-66.2209,51.3275,28536
Mount Gleadell,-66.941,50.44,1576
Mount Riiser-Larsen,-66.7908,50.5511,1562
Myall/McMahon,-67.6721,45.7356,686
NE of Smiggers Island,-65.452,-65.347,11
Nella/Thalla Islands,-70.6136,166.0873,477
Nelly Island,-66.2294,110.1782,1316
Nokkelholmane Islands,-69.3811,39.4635,34
North Cape (d'Urville Island),-63,-56.5,75
North Point,-60.672,-45.626,13719
Odbert Island,-66.3742,110.5421,9247
Oldham Island,-67.5208,61.7253,3570
Oliphant Island,-60.7348,-45.588,1167
Ongulkaven,-69.0171,39.4252,141
Outer Island,-60.7069,-45.5806,155
Pageant Point,-60.7286,-45.5843,220
Pantomime Point,-60.7266,-45.5833,792
Patella Island,-63.129,-55.523,1000
Paulet Island,-63.5779,-55.7775,107285
Peine Island,-63.411,-54.717,3311
Penguin Island,-62.1024,-57.9258,231
Penguin Point (Seymour Is),-64.2966,-56.6961,16015
Peter I Island,-68.835,-90.4917,2
Petermann Island,-65.172,-64.135,239
Peterson Island,-66.4665,110.4993,30448
Pink Pool Point,-61.3107,-54.0726,1811
Plato Island,-63.433,-54.6742,27902
Point Geologie,-66.667,140,39237
Point Martin,-60.7709,-44.7185,22350
Point Thomas,-62.1631,-58.4615,3082
Port Charcot,-65.067,-64.026,11
Port Martin,-66.8113,141.3997,37994
Possession Island,-71.8946,171.1692,168583
Powell Island South Coast (incl. Michelsen Island),-60.725,-45.029,24560
Proclamation Island,-65.8424,53.6876,9277
Rauer Islands,-68.8331,77.6765,115034
Red Island,-63.7356,-57.88,1002
Red Rock Ridge,-68.2919,-67.1842,5441
Retour Island,-66.767,141.5669,14694
Rhyolite Island,-69.6488,-68.5709,36
Robinson,-67.4543,63.4596,609
Robinson NW,-67.4489,63.413,111
Robinson SE,-67.4749,63.4956,800
