EMPEname,Latitude,Longitude,EMPEcount
Cape Colbeck,-77.14,-157.70,11438
Rupert Coast,-75.38,-143.30,1550
Ledda Bay,-74.23,-130.78,0
Thurston Glacier,-73.50,-125.62,2989
Bear Peninsula,-74.35,-110.25,9457
Brownson Islands,-74.35,-103.64,5732
Noville Peninsula,-71.77,-98.45,3568
Smyley,-72.30,-78.83,6061
Smith,-74.37,-60.83,4018
Dolleman,-70.61,-60.43,1620
Snow Hill Island,-64.52,-57.44,2164
Gould,-77.71,-47.68,8242
Luitpold,-77.27,-33.55,6498
Halley,-75.54,-27.43,22510
Dawson,-76.02,-26.67,2597
Stancomb,-74.12,-23.09,5455
Drescher,-72.83,-19.34,2305
Riiser,-72.12,-15.11,4013
Atka,-70.61,-8.13,9657
Sanae,-70.00,-1.42,3197
Astrid,-69.95,8.31,1368
Lazarev,-69.75,15.55,821
Ragnhild,-69.90,27.15,6870
Gunnerus,-68.75,34.38,4652
Umbeashi,-68.05,43.01,146
Amundsen Bay,-66.78,50.55,88
Kloa Point,-66.64,57.28,3283
Fold Island,-67.32,59.32,213
Taylor Glacier,-67.45,60.88,519
Auster,-67.39,63.98,7855
Cape Darnley,-67.88,69.70,3465
Amanda Bay,-69.27,76.83,6831
Haswell Island,-66.52,93.01,3247
Shackleton Ice Shelf,-64.86,96.02,6471
Bowman Island,-65.16,103.07,1609
Peterson Bank,-65.92,110.23,0
Dibble Glacier,-66.01,134.79,12476
Point Geologie,-66.67,140.01,2456
Mertz Glacier,-67.23,145.52,4781
Davis Bay,-69.35,158.49,1745
Cape Washington,-74.64,165.37,11808
Beaufort Island,-76.93,167.02,1641
Franklin Island,-76.18,168.43,7561
Cape Crozier,-77.46,169.32,303
Coulman Island,-73.35,169.61,25298
Cape Roget,-71.99,170.59,9505
