"modnr","seed","train.AUC","test.AUC","features","rm","parameters","AUC"
1,2016,0.8117,0.828731343283582,"LQHP",1,58,0.763157894736842
2,17617,0.8346,0.821465474823684,"QHPT",4,50,0.798245614035088
3,9563,0.8271,0.817902247006725,"QHPT",3.5,51,0.763157894736842
4,28351,0.8568,0.835820895522388,"QHPT",4,58,0.807017543859649
4,28351,0.8568,0.835820895522388,"QHPT",4,58,0.807017543859649
5,12087,0.8826,0.842278989667049,"QHPT",3.5,56,0.798245614035088
6,28464,0.8384,0.832819419386584,"LQHP",4,53,0.771929824561403
7,5606,0.8384,0.844603903559127,"LQHP",4,53,0.771929824561403
8,25806,0.8296,0.830650319829424,"LQHP",1,56,0.789473684210526
9,5686,0.8568,0.840993521403969,"QHPT",4,58,0.807017543859649
10,724,0.8684,0.834685091028375,"QHPT",3,55,0.824561403508772
11,28923,0.8826,0.844761768082664,"QHPT",3.5,56,0.798245614035088
12,11691,0.8384,0.836969001148106,"LQHP",4,53,0.771929824561403
13,30321,0.8568,0.831976791864852,"QHPT",4,58,0.798245614035088
14,8510,0.8568,0.85521978021978,"QHPT",4,58,0.798245614035088
15,5995,0.8144,0.832343775627358,"LQH",2,53,0.728070175438597
16,8650,0.8384,0.84759922912908,"LQHP",4,53,0.771929824561403
17,3984,0.8684,0.835792192881745,"QHPT",3,56,0.824561403508772
18,20602,0.8384,0.850664261112022,"LQHP",4,53,0.771929824561403
19,1903,0.8568,0.833553386911596,"QHPT",4,58,0.807017543859649
20,25906,0.8568,0.842051418730523,"QHPT",4,58,0.798245614035088
21,14175,0.8216,0.838896178448417,"LQHP",0.5,51,0.771929824561403
22,5531,0.8826,0.8314744956536,"QHPT",3.5,56,0.798245614035088
23,20876,0.8864,0.838748564867968,"LQHP",3.5,56,0.798245614035088
24,10591,0.8864,0.84324667869444,"LQHP",3.5,56,0.798245614035088
25,4771,0.8826,0.830884041331802,"QHPT",3.5,56,0.798245614035088
26,7596,0.8384,0.831794325077907,"LQHP",4,53,0.771929824561403
27,21641,0.8384,0.831960390355913,"LQHP",4,53,0.771929824561403
28,20697,0.8384,0.858338117106774,"LQHP",4,53,0.771929824561403
29,3106,0.8384,0.84428407413482,"LQHP",4,53,0.771929824561403
30,10290,0.8568,0.839400524848286,"QHPT",4,58,0.798245614035088
31,22054,0.8384,0.838258569788421,"LQHP",4,53,0.771929824561403
32,29823,0.8384,0.85100664261112,"LQHP",4,53,0.771929824561403
33,8979,0.8144,0.836362145317369,"LQH",2.5,50,0.745614035087719
34,14849,0.8826,0.832680006560604,"QHPT",3.5,56,0.798245614035088
35,11319,0.8568,0.828286452353617,"QHPT",4,58,0.798245614035088
36,22746,0.8384,0.828899458750205,"LQHP",4,53,0.771929824561403
37,22420,0.8384,0.843997047728391,"LQHP",4,53,0.771929824561403
38,15565,0.8384,0.835394456289979,"LQHP",4,53,0.771929824561403
39,13031,0.8864,0.832645153354109,"LQHP",3.5,56,0.798245614035088
40,18444,0.8864,0.839949975397737,"LQHP",3.5,56,0.798245614035088
41,32522,0.8384,0.844302525832377,"LQHP",4,53,0.771929824561403
42,10131,0.8568,0.842941200590454,"QHPT",4,58,0.807017543859649
43,15758,0.8568,0.836099721174348,"QHPT",4,58,0.798245614035088
44,21700,0.8384,0.838594800721666,"LQHP",4,53,0.771929824561403
45,7144,0.8384,0.842422502870264,"LQHP",4,53,0.771929824561403
46,602,0.8684,0.83245858618993,"QHPT",3,54,0.824561403508772
47,3180,0.8568,0.843757175660161,"QHPT",4,58,0.798245614035088
48,8314,0.8568,0.848478760045924,"QHPT",4,58,0.798245614035088
49,13328,0.8196,0.840017631622109,"LQHP",2.5,59,0.763157894736842
50,4992,0.8568,0.843757175660161,"QHPT",4,58,0.807017543859649
51,16677,0.8568,0.850381335082828,"QHPT",4,58,0.798245614035088
52,26673,0.8384,0.842857142857143,"LQHP",4,53,0.771929824561403
53,24680,0.8384,0.850930785632278,"LQHP",4,53,0.771929824561403
54,12618,0.8647,0.831441692635723,"LQHP",3,56,0.824561403508772
55,30723,0.8568,0.853930211579465,"QHPT",4,58,0.798245614035088
56,20331,0.8384,0.835849598163031,"LQHP",4,53,0.771929824561403
57,4763,0.8568,0.841323601771363,"QHPT",4,58,0.807017543859649
58,7745,0.8568,0.839597342955552,"QHPT",4,58,0.807017543859649
59,25253,0.8196,0.835833196654092,"LQHP",2.5,59,0.763157894736842
60,24510,0.8568,0.83614482532393,"QHPT",4,58,0.807017543859649
61,17745,0.8684,0.833083893718222,"QHPT",3,55,0.824561403508772
62,3295,0.8864,0.837194521896014,"LQHP",3.5,56,0.798245614035088
63,826,0.8568,0.85626537641463,"QHPT",4,58,0.798245614035088
64,19254,0.8864,0.835218140068886,"LQHP",3.5,56,0.798245614035088
65,473,0.8568,0.839708053140889,"QHPT",4,58,0.807017543859649
66,28374,0.8568,0.854553468919141,"QHPT",4,58,0.807017543859649
67,13408,0.8384,0.853686239134,"LQHP",4,53,0.771929824561403
68,15331,0.8568,0.835250943086764,"QHPT",4,58,0.798245614035088
69,29039,0.8568,0.844310726586846,"QHPT",4,58,0.798245614035088
70,24375,0.8864,0.84398269640807,"LQHP",3.5,56,0.798245614035088
71,14410,0.8568,0.836706577005084,"QHPT",4,58,0.807017543859649
72,23491,0.8826,0.843697720190257,"QHPT",3.5,56,0.798245614035088
73,30264,0.8568,0.835279645727407,"QHPT",4,58,0.807017543859649
74,25875,0.8568,0.851537641463015,"QHPT",4,58,0.807017543859649
75,3812,0.8684,0.834336558963425,"QHPT",3,56,0.824561403508772
76,31738,0.8647,0.836946449073315,"LQHP",3,58,0.824561403508772
77,10819,0.8384,0.833266360505166,"LQHP",4,53,0.771929824561403
78,16315,0.8384,0.846818107265868,"LQHP",4,53,0.771929824561403
79,14085,0.8568,0.847324503854355,"QHPT",4,58,0.807017543859649
80,24840,0.8864,0.832807118254879,"LQHP",3.5,56,0.798245614035088
81,22327,0.8568,0.839642447105134,"QHPT",4,58,0.798245614035088
82,15334,0.8864,0.839888469739216,"LQHP",3.5,56,0.798245614035088
83,19707,0.8384,0.846157946531081,"LQHP",4,53,0.771929824561403
84,24314,0.8864,0.839550188617353,"LQHP",3.5,56,0.798245614035088
85,32115,0.8568,0.842672625881581,"QHPT",4,58,0.807017543859649
86,19722,0.8196,0.832067000164015,"LQHP",2.5,59,0.763157894736842
87,23651,0.8568,0.842387649663769,"QHPT",4,58,0.807017543859649
88,26686,0.8684,0.840421518779728,"QHPT",3,54,0.824561403508772
89,19968,0.8568,0.84405240282106,"QHPT",4,58,0.807017543859649
90,24574,0.8568,0.846268656716418,"QHPT",4,58,0.807017543859649
91,23474,0.8384,0.843669017549615,"LQHP",4,53,0.771929824561403
92,24948,0.8568,0.830625717566016,"QHPT",4,58,0.807017543859649
93,18171,0.8826,0.831158766606528,"QHPT",3.5,56,0.798245614035088
94,9907,0.8864,0.835919304576021,"LQHP",3.5,56,0.798245614035088
95,3909,0.8384,0.84324667869444,"LQHP",4,53,0.771929824561403
96,8281,0.8384,0.837963342627522,"LQHP",4,53,0.771929824561403
97,14532,0.8384,0.835755289486633,"LQHP",4,53,0.771929824561403
98,4229,0.8384,0.839125799573561,"LQHP",4,53,0.771929824561403
99,11554,0.8384,0.842971953419715,"LQHP",4,53,0.771929824561403
351,11610,0.8684,0.834877808758406,"QHPT",3,55,0.824561403508772
352,10179,0.8826,0.837014105297687,"QHPT",3.5,56,0.798245614035088
353,18723,0.8826,0.842594718714122,"QHPT",3.5,56,0.798245614035088
354,11000,0.8568,0.849368541905855,"QHPT",4,58,0.798245614035088
355,32761,0.8864,0.832452435624077,"LQHP",3.5,56,0.798245614035088
356,17562,0.8568,0.843230277185501,"QHPT",4,58,0.807017543859649
357,854,0.8864,0.839933573888798,"LQHP",3.5,56,0.798245614035088
358,29793,0.8048,0.834227898966705,"LQHP",1.5,44,0.745614035087719
359,20956,0.8568,0.850270624897491,"QHPT",4,58,0.807017543859649
360,9613,0.8568,0.846652041987863,"QHPT",4,58,0.807017543859649
361,31813,0.8384,0.83732983434476,"LQHP",4,53,0.771929824561403
